CAMERA ID,LOCATION,LATITUDE,LONGITUDE,VIOLATIONS 2014,VIOLATIONS 2015,VIOLATIONS 2016,VIOLATIONS 2017,VIOLATIONS 2018
1041.0,"(41.968048007293845, -87.74787598468126)",41.968048007,-87.747875985,1161,2028.0,2606.0,2173.0,2422.0
2621.0,"(41.75809217638291, -87.6249022282473)",41.758092176,-87.624902228,1157,2027.0,2577.0,2172.0,2357.0
1014.0,"(41.990609009807294, -87.68973548092968)",41.99060901,-87.689735481,1140,2019.0,2577.0,2130.0,2335.0
1812.0,"(41.89564071387542, -87.70235232767416)",41.895640714,-87.70235232799999,1129,2010.0,2566.0,2114.0,2317.0
1714.0,"(41.90374555734733, -87.64816701062779)",41.903745557,-87.648167011,1126,2005.0,2520.0,2100.0,2313.0
2223.0,"(41.84777752280453, -87.73450596874825)",41.847777523000005,-87.734505969,1108,2003.0,2493.0,2082.0,2308.0
1892.0,"(41.88187970991601, -87.7454892473012)",41.88187971,-87.74548924700001,1097,1998.0,2481.0,2062.0,2269.0
2342.0,"(41.77863646878099, -87.72290635568541)",41.778636469,-87.72290635600001,1095,1970.0,2473.0,2004.0,2230.0
1042.0,"(41.968048007293845, -87.74787598468126)",41.968048007,-87.747875985,1086,1957.0,2460.0,1996.0,2219.0
2472.0,"(41.72116061205213, -87.66282813939165)",41.721160612,-87.662828139,1085,1951.0,2451.0,1961.0,2152.0
2531.0,"(41.69216099874656, -87.66347246868617)",41.692160999,-87.663472469,1083,1911.0,2443.0,1959.0,2151.0
1343.0,"(41.98564979859328, -87.65533580655139)",41.985649799,-87.65533580700001,1068,1897.0,2441.0,1957.0,2131.0
2181.0,"(41.79158020433135, -87.58556421519536)",41.791580204,-87.585564215,1062,1882.0,2344.0,1950.0,2121.0
2043.0,"(41.88048075170171, -87.75513043296509)",41.880480752,-87.75513043299999,1055,1880.0,2340.0,1933.0,2102.0
2714.0,"(41.779949104569106, -87.62528955333775)",41.779949105,-87.62528955299999,1053,1831.0,2324.0,1896.0,2094.0
1074.0,"(41.97600018976586, -87.68927508385399)",41.97600019,-87.689275084,1041,1823.0,2318.0,1890.0,1995.0
1851.0,"(41.91040902362901, -87.687370268401)",41.910409024,-87.687370268,1017,1802.0,2280.0,1877.0,1968.0
1773.0,"(41.91016284680269, -87.71195386769125)",41.910162846999995,-87.711953868,1008,1770.0,2268.0,1874.0,1966.0
2084.0,"(41.798758207843264, -87.74302054146467)",41.798758208,-87.743020541,973,1759.0,2215.0,1857.0,1962.0
2603.0,"(41.72215393877189, -87.60444773564429)",41.722153939,-87.604447736,971,1756.0,2197.0,1845.0,1961.0
2532.0,"(41.69216099874656, -87.66347246868617)",41.692160999,-87.663472469,962,1754.0,2192.0,1827.0,1960.0
1274.0,"(41.99746398102873, -87.78761024341388)",41.997463980999996,-87.78761024299999,961,1712.0,2188.0,1826.0,1954.0
2013.0,"(41.90986357340246, -87.73638029605371)",41.909863573,-87.73638029600001,958,1709.0,2183.0,1818.0,1946.0
1921.0,"(41.88922537162015, -87.63267411498495)",41.889225372,-87.632674115,956,1691.0,2164.0,1799.0,1936.0
2712.0,"(41.78000827740796, -87.6255225119157)",41.780008277,-87.625522512,956,1684.0,2144.0,1774.0,1905.0
2672.0,"(41.77188402771193, -87.68358840206334)",41.771884028,-87.68358840200001,952,1672.0,2139.0,1772.0,1859.0
1952.0,"(41.891044569124276, -87.620371839074)",41.891044569,-87.620371839,943,1650.0,2138.0,1765.0,1856.0
2422.0,"(41.692263123425136, -87.6425226876268)",41.692263123000004,-87.64252268799999,941,1644.0,2130.0,1758.0,1818.0
1791.0,"(41.903377467566784, -87.66764314227497)",41.903377468,-87.667643142,915,1637.0,2100.0,1749.0,1812.0
1554.0,"(41.92378618871128, -87.78556720562165)",41.923786189,-87.78556720600001,915,1615.0,2098.0,1747.0,1803.0
1911.0,"(41.88149872915566, -87.66695122185307)",41.881498729,-87.66695122200001,913,1613.0,2067.0,1708.0,1791.0
2452.0,"(41.73569698863625, -87.66320954445679)",41.735696989000004,-87.663209544,909,1608.0,2064.0,1705.0,1783.0
1353.0,"(41.95402904691877, -87.70807749383191)",41.954029047,-87.708077494,908,1563.0,2053.0,1692.0,1772.0
1574.0,"(41.95375687447515, -87.72769851312907)",41.953756874,-87.72769851299999,887,1554.0,2052.0,1686.0,1767.0
1591.0,"(41.94533841246591, -87.80715476912044)",41.945338412,-87.807154769,876,1547.0,2050.0,1676.0,1761.0
1903.0,"(41.880897273491264, -87.72088122613924)",41.880897273,-87.720881226,869,1533.0,2049.0,1664.0,1747.0
2123.0,"(41.838534018118914, -87.61704611345726)",41.838534018000004,-87.61704611299999,851,1532.0,2048.0,1655.0,1736.0
